content,score,at,clean,processed,sentiment
"dapet Vcr alfamart 50% sampe hangus gak dipake,ya tiap mau bayar statusnya habis terus... , dikurangin jatahnya apa gmn? kalo iya gak usah ada Vouvhernya kalo udh habis",5,2025-09-03 03:28:07,dapet vcr alfamart sampe hangus gak dipake ya tiap mau bayar statusnya habis terus dikurangin jatahnya apa gmn kalo iya gak usah ada vouvhernya kalo udh habis,dapet vcr alfamart sampe hangus dipake ya bayar status habis rangin jatah gmn iya vouvhernya habis,positive
akun ada terdeteksi gabisa login kocak,1,2025-09-03 03:25:08,akun ada terdeteksi gabisa login kocak,akun deteksi gabisa login kocak,negative
"gagal terus saat pembayaran, keterangan terlalu banyak peminat",1,2025-09-03 02:42:56,gagal terus saat pembayaran keterangan terlalu banyak peminat,gagal bayar terang minat,negative
"awalnya oke,TPI skrg susah mau belanja nya",1,2025-09-03 00:57:54,awalnya oke tpi skrg susah mau belanja nya,oke skrg susah belanja,negative
kecewa sm aplikasi ini..udh 39 org teman q undang download aps ini..awalnha ok sh makax aq ajak bnyk teman..tp tiba2 aq udh beli vcr tp pas k toko nya trnyta tdk bis d pakai padahal d qupon d info bahwa toko itu terdaftar..,1,2025-09-03 00:51:36,kecewa sm aplikasi ini udh org teman q undang download aps ini awalnha ok sh makax aq ajak bnyk teman tp tiba aq udh beli vcr tp pas k toko nya trnyta tdk bis d pakai padahal d qupon d info bahwa toko itu terdaftar,kecewa aplikasi org teman undang download aps awalnha ok sh makax aq ajak bnyk teman aq beli vcr pas toko trnyta tdk bis pakai qupon info toko daftar,negative
bagus lah. keren... jd murah- murah harganya... dan banyakin promonya lg ya.. biar nambah seru...,5,2025-09-02 20:45:19,bagus lah keren jd murah murah harganya dan banyakin promonya lg ya biar nambah seru,bagus keren jd murah murah harga banyakin promonya lg ya biar nambah seru,positive
"pambayar jangan qris, dan dana aja. tolong tambahkan pembayar lewat gopay",1,2025-09-02 18:00:57,pambayar jangan qris dan dana aja tolong tambahkan pembayar lewat gopay,pambayar qris dana tolong tambah bayar gopay,negative
sekarang Cekin 7 hari udah di kurangi jadi 4 hari 🤣,1,2025-09-02 17:09:35,sekarang cekin hari udah di kurangi jadi hari,cekin kurang,negative
𝑘𝑒 𝑏𝑎𝑛𝑑 𝑎𝑝𝑘 𝑔𝑘 𝑗𝑒𝑙𝑎𝑠,1,2025-09-02 14:34:32,,,negative
aplikasi gak jelas Uda daftar trus di update keluar dari aplikasi giliran masuk lagi akun terdeteksi tidak normal.aneh banget gak normal dr mana nya.hapus aja nyesel download Uda ngabisin kuota,1,2025-09-02 12:33:20,aplikasi gak jelas uda daftar trus di update keluar dari aplikasi giliran masuk lagi akun terdeteksi tidak normal aneh banget gak normal dr mana nya hapus aja nyesel download uda ngabisin kuota,aplikasi uda daftar trus update aplikasi gilir masuk akun deteksi normal aneh normal dr hapus nyesel download uda ngabisin kuota,negative
hemat jajan pake qpon,5,2025-09-02 11:51:40,hemat jajan pake qpon,hemat jajan pake qpon,positive
"akun dinonaktifkan blok, padahal udah beli",1,2025-09-02 11:18:38,akun dinonaktifkan blok padahal udah beli,akun nonaktif blok beli,negative
"tolong apk nya ko gni bet gua bli uda bayar pas mau di barkot kaga bisa,uda di refan, berhasil tapi duit gw ga kembali",2,2025-09-02 11:06:46,tolong apk nya ko gni bet gua bli uda bayar pas mau di barkot kaga bisa uda di refan berhasil tapi duit gw ga kembali,tolong apk ko gni bet gua bli uda bayar pas barkot kaga uda refan hasil duit gw,negative
"gabisa pesen minuman, notifnya "" terlalu bnyak peminat "" tolong di fix ya",1,2025-09-02 10:36:46,gabisa pesen minuman notifnya terlalu bnyak peminat tolong di fix ya,gabisa sen minum notifnya bnyak minat tolong fix ya,negative
"saya mempunyai 2 sim card di hp saya dan ketika saya mau login menggunakan nomor telfon kedua saya, keterangannya nomor tidak normal kira"" itu kenapa ya? mohon di perbaiki.",5,2025-09-02 10:27:02,saya mempunyai sim card di hp saya dan ketika saya mau login menggunakan nomor telfon kedua saya keterangannya nomor tidak normal kira itu kenapa ya mohon di perbaiki,sim card hp login nomor telfon terang nomor normal ya mohon baik,positive
"qpon awal baik baikk aja, sekarang makin kesini kok malah bermasalah mau cekout pesenan gabisa bisa dengan notif pesanan banyak yg beli",2,2025-09-02 10:06:39,qpon awal baik baikk aja sekarang makin kesini kok malah bermasalah mau cekout pesenan gabisa bisa dengan notif pesanan banyak yg beli,qpon baikk kesini masalah cekout sen gabisa notif pesan beli,negative
banyak promo murah,5,2025-09-02 09:45:05,banyak promo murah,promo murah,positive
banyak promo murah,5,2025-09-02 09:43:01,banyak promo murah,promo murah,positive
ini kenapa gak bisa buat log in ya tolong perbaiki,1,2025-09-02 09:31:20,ini kenapa gak bisa buat log in ya tolong perbaiki,log in ya tolong baik,negative
"akun keluar sendiri dan mau masuk lagi ga bisa, udah hampir 2 minggu, di tes di hp lain juga akunnya ga bisa masuk,voucher saya yg udah dibayar kadaluarsa ga bisa dipakai karna ga bisa masuk. tanggung jawabnya dong!",1,2025-09-02 09:24:24,akun keluar sendiri dan mau masuk lagi ga bisa udah hampir minggu di tes di hp lain juga akunnya ga bisa masuk voucher saya yg udah dibayar kadaluarsa ga bisa dipakai karna ga bisa masuk tanggung jawabnya dong,akun masuk minggu tes hp akun masuk voucher bayar kadaluarsa pakai karna masuk tanggung,negative
like,5,2025-09-02 09:16:26,like,like,positive
"gak bisa buat log in,parah ni bug nya tolong oerbaiki dong",1,2025-09-02 08:57:42,gak bisa buat log in parah ni bug nya tolong oerbaiki dong,log in parah ni bug tolong oerbaiki,negative
lucu banget ngk bisa login kek alesan tidak terdeteksi Klo akun temen sy yg lain bisa login ngelawak kasih promo Klo ngk bisa lagi ngasih promo jgn kek gitu dongg,1,2025-09-02 08:00:47,lucu banget ngk bisa login kek alesan tidak terdeteksi klo akun temen sy yg lain bisa login ngelawak kasih promo klo ngk bisa lagi ngasih promo jgn kek gitu dongg,lucu ngk login kek alesan deteksi akun temen sy login ngelawak kasih promo ngk ngasih promo jgn kek gitu dongg,negative
"saya chat ga direspon, udh bayar pakai salah satu no referensi yg mutasi rekening tetapi login tetap tidak bisa ada riwayat pembelian. lumayan sih untuk nilainya, tapi tolong dong untuk atasin kekhawatiran ini. terimakasih sy tunggu wa nya ... dulu gk prnh otomatis logout loh",1,2025-09-02 05:18:01,saya chat ga direspon udh bayar pakai salah satu no referensi yg mutasi rekening tetapi login tetap tidak bisa ada riwayat pembelian lumayan sih untuk nilainya tapi tolong dong untuk atasin kekhawatiran ini terimakasih sy tunggu wa nya dulu gk prnh otomatis logout loh,chat direspon bayar pakai salah no referensi mutasi rekening login riwayat beli lumayan nilai tolong atasin khawatir terimakasih sy tunggu wa prnh otomatis logout loh,negative
Aneh banget udh hari ke 6 check in eh pas hari ke 7 mw check in katanya error jdilah Ga bisa checkin. GAJELAAS NIH APLIKASI. UDAH WA CS GA ADA BALASAN SAMA SEKALI,1,2025-09-02 04:47:00,aneh banget udh hari ke check in eh pas hari ke mw check in katanya error jdilah ga bisa checkin gajelaas nih aplikasi udah wa cs ga ada balasan sama sekali,aneh check in eh pas mw check in error jdilah checkin gajelaas aplikasi wa cs balas,negative
parahh.. proses refund direspon lama banget... udah 3hr ga dibls2 sampai vouchernya expired... rugi bangettt...,1,2025-09-02 03:40:52,parahh proses refund direspon lama banget udah hr ga dibls sampai vouchernya expired rugi bangettt,parahh proses refund direspon hr dibls vouchernya expired rugi bangettt,negative
enak,5,2025-09-01 22:43:17,enak,enak,positive
abis update ko malah gabisa absen diskon ya,2,2025-09-01 17:25:32,abis update ko malah gabisa absen diskon ya,abis update ko gabisa absen diskon ya,negative
"beli kopi kenangan rawa belong pake qpon pas ke kasir mau tukar sebut nomor telpon ternyata qpon gak bisa, alesan nya qpon telah di gunakan, kaget dong gw, ehk barista nya bilang mungkin udh di tukar sebelum nya. CS qpon slow respon parah banget.",1,2025-09-01 15:33:28,beli kopi kenangan rawa belong pake qpon pas ke kasir mau tukar sebut nomor telpon ternyata qpon gak bisa alesan nya qpon telah di gunakan kaget dong gw ehk barista nya bilang mungkin udh di tukar sebelum nya cs qpon slow respon parah banget,beli kopi kenang rawa bong pake qpon pas kasir tukar nomor telpon qpon alesan qpon kaget gw ehk barista bilang tukar cs qpon slow respon parah,negative
itu jualan yang kosong di Iki Iniiii im,3,2025-09-01 11:19:09,itu jualan yang kosong di iki iniiii im,jual kosong iki iniiii im,neutral
masa beli g bs masuk,1,2025-09-01 10:55:57,masa beli g bs masuk,beli bs masuk,negative
"gak jelas nih apk, udah ikut ngantri dioutlet roti_o pas dibuka apknya logout.. pas login lagi gak bisa..akun terindikasi tidak normal,. aneh,. mana ada vocer yg udah dibeli,. aplikasi merugikan..",1,2025-09-01 08:35:01,gak jelas nih apk udah ikut ngantri dioutlet roti o pas dibuka apknya logout pas login lagi gak bisa akun terindikasi tidak normal aneh mana ada vocer yg udah dibeli aplikasi merugikan,apk ngantri dioutlet roti pas buka apknya logout pas login akun indikasi normal aneh vocer beli aplikasi rugi,negative
uninstall. aneh banget gabisa checkout apa-apa. udah ga guna ni apk.,1,2025-09-01 05:37:29,uninstall aneh banget gabisa checkout apa apa udah ga guna ni apk,uninstall aneh gabisa checkout ni apk,negative
ga bisa di pake aplikasi nya selalu sibuk keterangan nya aneh ih,1,2025-09-01 05:35:46,ga bisa di pake aplikasi nya selalu sibuk keterangan nya aneh ih,pake aplikasi sibuk terang aneh ih,negative
"pengembalian dana 1 bulan belum ada tanda² masuk, keterangannya 7 hari kerja. 1bulan belum juga masuk",1,2025-09-01 05:27:04,pengembalian dana bulan belum ada tanda masuk keterangannya hari kerja bulan belum juga masuk,kembali dana tanda masuk terang kerja masuk,negative
ok,5,2025-09-01 05:08:56,ok,ok,positive
bagus sih referal 9ABA27 moga bermanfaat,4,2025-09-01 05:01:57,bagus sih referal aba moga bermanfaat,bagus referal aba moga manfaat,positive
"masalahnya klo udah log out, gak bisa masuk lagi. pdhal voucher saya tinggal tukar, siaLan.",1,2025-09-01 03:13:05,masalahnya klo udah log out gak bisa masuk lagi pdhal voucher saya tinggal tukar sialan,log out masuk pdhal voucher tinggal tukar sial,negative
"aplikasi payah, semua proses serba lama. payah.",1,2025-09-01 02:17:17,aplikasi payah semua proses serba lama payah,aplikasi payah proses serba payah,negative
najiess ga sukaa,1,2025-09-01 00:10:45,najiess ga sukaa,najiess sukaa,negative
"sia-sia di download, tp ga bisa order",1,2025-08-31 23:18:18,sia sia di download tp ga bisa order,sia sia download order,negative
"Diskonnya banyak, apalagi ada program flazsale bisa beli voucher diskon sampai 50 % dan kl cek in tiap hari di aplikasi selama 7 hari berturut2 bisa tebus voucher Alfamart diskon 50% hemat banget utk belanja tapi kelemahannya kl 1 hari aja lupa cek in maka ngulang lagi dari awal. sejauh ini aplikasi ini menguntungkan banget lah banyak diskonnya 🙂🙂 masukan utk aplikasi ini semoga banyak promonya tidak hanya di kota besar aja tapi terjangkau di daerah juga.",5,2025-08-31 23:02:56,diskonnya banyak apalagi ada program flazsale bisa beli voucher diskon sampai dan kl cek in tiap hari di aplikasi selama hari berturut bisa tebus voucher alfamart diskon hemat banget utk belanja tapi kelemahannya kl hari aja lupa cek in maka ngulang lagi dari awal sejauh ini aplikasi ini menguntungkan banget lah banyak diskonnya masukan utk aplikasi ini semoga banyak promonya tidak hanya di kota besar aja tapi terjangkau di daerah juga,diskon program flazsale beli voucher diskon kl cek in aplikasi tebus voucher alfamart diskon hemat utk belanja lemah kl lupa cek in ngulang aplikasi untung diskon masuk utk aplikasi moga promonya kota jangkau daerah,positive
"tidak bisa digunakan untuk beli roti o,",1,2025-08-31 22:28:18,tidak bisa digunakan untuk beli roti o,beli roti,negative
Mantap,5,2025-08-31 15:47:54,mantap,mantap,positive
"tolong dong apk nya yg bnr, kalo misal menu udh gada mnding di takedown, saya baru beli tomoro di qpon seharga 40rb, pas saya mau reedem mba nya blng kalo menu itu udh gada dia jg udh blng ke pihak qpon nya untuk takedown menu nya tp blm di hapus, di semua store tomoro gbsa di tuker qpon nya gmn ini, refund nya jg gbsa lama bgt",1,2025-08-31 13:16:59,tolong dong apk nya yg bnr kalo misal menu udh gada mnding di takedown saya baru beli tomoro di qpon seharga rb pas saya mau reedem mba nya blng kalo menu itu udh gada dia jg udh blng ke pihak qpon nya untuk takedown menu nya tp blm di hapus di semua store tomoro gbsa di tuker qpon nya gmn ini refund nya jg gbsa lama bgt,tolong apk bnr menu gada mnding takedown beli tomoro qpon harga rb pas reedem mba blng menu gada jg blng qpon takedown menu blm hapus store tomoro gbsa tuker qpon gmn refund jg gbsa,negative
lihat berangkat atau mauda,5,2025-08-31 12:47:13,lihat berangkat atau mauda,lihat berangkat mauda,positive
tidak bisa login,2,2025-08-31 09:36:38,tidak bisa login,login,negative
"kecewa bgt, di WA gk di respon, sy mw refund.. ini stok barang gk ada parah pdhal bukan sekali dua kali saya belanja pakai aplikasi ini.. kecewa",1,2025-08-31 08:52:38,kecewa bgt di wa gk di respon sy mw refund ini stok barang gk ada parah pdhal bukan sekali dua kali saya belanja pakai aplikasi ini kecewa,kecewa wa respon sy mw refund stok barang parah pdhal kali belanja pakai aplikasi kecewa,negative
loadingnya lama gak bisa di buka,5,2025-08-31 08:21:47,loadingnya lama gak bisa di buka,loadingnya buka,positive
gw kira di antarin makanan nya menu nya dikit,1,2025-08-31 07:52:08,gw kira di antarin makanan nya menu nya dikit,gw antarin makan menu dikit,negative
Mantap nian pokoknyo,5,2025-08-31 07:37:19,mantap nian pokoknyo,mantap nian pokoknyo,positive
"pihak tenant selalu mempersulit jika ada customer membeli dgn voucher .. alasannya ada aja yg gak masuk logika Spt es batunya habis, cupnya habis dll. Contohnya Tenan ROTI O .. mohon aplikator dpt menindak tenant yg susah kerjasama dan buruk pelayanan kepada customer",2,2025-08-31 06:44:57,pihak tenant selalu mempersulit jika ada customer membeli dgn voucher alasannya ada aja yg gak masuk logika spt es batunya habis cupnya habis dll contohnya tenan roti o mohon aplikator dpt menindak tenant yg susah kerjasama dan buruk pelayanan kepada customer,tenant sulit customer beli dgn voucher alas masuk logika spt es batu habis cup habis dll contoh tenan roti mohon aplikator dpt tindak tenant susah kerjasama buruk layan customer,negative
aktivitas ini offline terus ketika login,2,2025-08-31 06:40:59,aktivitas ini offline terus ketika login,aktivitas offline login,negative
akun bermasalah terus mu log in,1,2025-08-31 06:33:20,akun bermasalah terus mu log in,akun masalah mu log in,negative
"sangat, membantu",5,2025-08-31 02:57:16,sangat membantu,bantu,positive
misi checkin sengaja bgt direset kalo udah mau 7 hari,1,2025-08-31 01:38:00,misi checkin sengaja bgt direset kalo udah mau hari,misi checkin sengaja direset,negative
"Sue mau masuk aja susah bgt , akun terdeteksi , padahal cuma ganti hp , hapus juga nih APK",1,2025-08-30 23:57:38,sue mau masuk aja susah bgt akun terdeteksi padahal cuma ganti hp hapus juga nih apk,sue masuk susah akun deteksi ganti hp hapus apk,negative
"jelek banget aplikasiny. check in hariannya masa masa ada keterangan "" AKTIVITAS INI OFFLINE"" ngapa-ngapain engga tetiba begitu aja keterangannya. menyebalkan sekali. bintang 1 aja dulu kalau sudah diperbaiki baru balik lagi kasih bintang 5.",1,2025-08-30 19:01:49,jelek banget aplikasiny check in hariannya masa masa ada keterangan aktivitas ini offline ngapa ngapain engga tetiba begitu aja keterangannya menyebalkan sekali bintang aja dulu kalau sudah diperbaiki baru balik lagi kasih bintang,jelek aplikasiny check in hari terang aktivitas offline ngapa ngapain engga tetiba terang sebal bintang baik kasih bintang,negative
aplikasi blanja online yng okzz,5,2025-08-30 16:45:04,aplikasi blanja online yng okzz,aplikasi blanja online yng okzz,positive
kenapa yah gabisa login bacaan nya tidak terdektesi sementara,1,2025-08-30 12:31:35,kenapa yah gabisa login bacaan nya tidak terdektesi sementara,yah gabisa login baca terdektesi,negative
"gausah pakai nih aplikasi deh jelek banget aplikasinya percuma di download gabisa dipakai bacaannya silahkan tunggu terlalu banyak peminatnya, besoknya coba lagi masih gitu aja customer servicenya juga di chat ga dibales jelek banget sistemnya👎🏻👎🏻 tolong dong di perbaiki percuma orang yang udah download tapi gabisa dipakai",1,2025-08-30 11:54:29,gausah pakai nih aplikasi deh jelek banget aplikasinya percuma di download gabisa dipakai bacaannya silahkan tunggu terlalu banyak peminatnya besoknya coba lagi masih gitu aja customer servicenya juga di chat ga dibales jelek banget sistemnya tolong dong di perbaiki percuma orang yang udah download tapi gabisa dipakai,gausah pakai aplikasi deh jelek aplikasi download gabisa pakai baca silah tunggu minat besok coba gitu customer servicenya chat dibales jelek sistem tolong baik orang download gabisa pakai,negative
banyak bonus👍,5,2025-08-30 09:37:12,banyak bonus,bonus,positive
mantap,5,2025-08-30 09:14:26,mantap,mantap,positive
gacorr dapet saya dapat promo,5,2025-08-30 08:43:53,gacorr dapet saya dapat promo,gacorr dapet promo,positive
ex$3,3,2025-08-30 08:23:35,ex,ex,neutral
"Udah 4 Hari akun saya gak bisa login,,alasan nya akun saat ini terdeteksi tidak normal,,,gak jelas bgt nih aplikasi,,gak mau rugi,,kalo lagi ngadain promo harus totalitas jangan membuat ketidaknyamanan bgini",1,2025-08-30 08:11:24,udah hari akun saya gak bisa login alasan nya akun saat ini terdeteksi tidak normal gak jelas bgt nih aplikasi gak mau rugi kalo lagi ngadain promo harus totalitas jangan membuat ketidaknyamanan bgini,akun login alas akun deteksi normal aplikasi rugi ngadain promo totalitas ketidaknyamanan bgini,negative
kalau gak niat kasih diskon gak usah dikasih Phpin org aja,1,2025-08-30 06:59:30,kalau gak niat kasih diskon gak usah dikasih phpin org aja,niat kasih diskon kasih phpin org,negative
membantu banget saat tagal tua,5,2025-08-30 06:40:35,membantu banget saat tagal tua,bantu tagal tua,positive
sangat bagus,5,2025-08-30 06:19:32,sangat bagus,bagus,positive
"bagus, banyak promo, kebetulan saya juga udh coba chat sampai wa qpon untuk refund dana karena voucher nya tidak bisa digunakan dan dengan durasi kurang 7 hari dana dikembalikan.",5,2025-08-30 06:13:12,bagus banyak promo kebetulan saya juga udh coba chat sampai wa qpon untuk refund dana karena voucher nya tidak bisa digunakan dan dengan durasi kurang hari dana dikembalikan,bagus promo coba chat wa qpon refund dana voucher durasi dana kembali,positive
Okelah,4,2025-08-30 04:31:23,okelah,oke,positive
busuk,1,2025-08-30 04:23:05,busuk,busuk,negative
akun saya tidak bisa login lambat sekali penanganan nya,1,2025-08-30 03:09:30,akun saya tidak bisa login lambat sekali penanganan nya,akun login lambat tangan,negative
percuma vocer diskon gk bisa dipakek. tipu tipu,1,2025-08-30 02:35:15,percuma vocer diskon gk bisa dipakek tipu tipu,vocer diskon dipakek tipu tipu,negative
kenapa kalo kita ada vocer yg blm d tukar 2 . kita ga bisa beli lagi . padhal kan wkt tukar nya masih lama . syang bgt masa mesti d tukar dl baru bisa beli lagi,3,2025-08-30 02:19:46,kenapa kalo kita ada vocer yg blm d tukar kita ga bisa beli lagi padhal kan wkt tukar nya masih lama syang bgt masa mesti d tukar dl baru bisa beli lagi,vocer blm tukar beli padhal wkt tukar syang mesti tukar dl beli,neutral
gak bisa masuk aplikasi nya gimna udah di masukin no hp tapi tetep gak bisa masuk,1,2025-08-30 01:46:17,gak bisa masuk aplikasi nya gimna udah di masukin no hp tapi tetep gak bisa masuk,masuk aplikasi gimna masukin no hp tetep masuk,negative
"Saya sudah checkout dan bayar. Tapi tidak memproses kelanjutannya. Biasanya setelah bayar lngsung muncul untuk pengambilannya. Pesanan saya adalah ROTI O. Saya sudah menghubungi via CS WA dan DM IG untuk minta BANTUAN. Tapi pihak QPON seakan tutup TELINGA DAN MATA. Uang sudah masuk loh ke QPON. Kalo memang gabisa, tolong sampaikan agar aplikasinya berbenah. Kasian untuk orang² yg hanya punya uang beberapa saja tapi dibela belain beli, ternyata gabisa diproses. So sad",1,2025-08-29 21:51:37,saya sudah checkout dan bayar tapi tidak memproses kelanjutannya biasanya setelah bayar lngsung muncul untuk pengambilannya pesanan saya adalah roti o saya sudah menghubungi via cs wa dan dm ig untuk minta bantuan tapi pihak qpon seakan tutup telinga dan mata uang sudah masuk loh ke qpon kalo memang gabisa tolong sampaikan agar aplikasinya berbenah kasian untuk orang yg hanya punya uang beberapa saja tapi dibela belain beli ternyata gabisa diproses so sad,checkout bayar proses lanjut bayar lngsung muncul ambil pesan roti hubung via cs wa dm ig bantu qpon akan tutup telinga mata uang masuk loh qpon gabisa tolong aplikasi benah kasi orang uang bela bain beli gabisa proses so sad,negative
"pesanan gak ada terus, pas refund dana, dana nya juga hilang, nyesel pake app qpon 🦶🏻",1,2025-08-29 17:30:49,pesanan gak ada terus pas refund dana dana nya juga hilang nyesel pake app qpon,pesan pas refund dana dana hilang nyesel pake app qpon,negative
ada kendala di apk nya chat cs nya ga ada respon padahal udah berkali kali chat cs nya,3,2025-08-29 16:01:41,ada kendala di apk nya chat cs nya ga ada respon padahal udah berkali kali chat cs nya,kendala apk chat cs respon kali kali chat cs,neutral
"/Iis :////Iis TT Ju yu e,e3se,,sszaaDe🪀👐👐👐🪀👐👐",4,2025-08-29 15:49:22,iis iis tt ju yu e e se sszaade,iis iis tt ju yu sszaade,positive
kesalahan jaringan kesalahan jaringan mulu,1,2025-08-29 13:00:10,kesalahan jaringan kesalahan jaringan mulu,salah jaring salah jaring mulu,negative
sering network error,2,2025-08-29 12:31:20,sering network error,network error,negative
"udah check in 6 hari, pas hari ke 7 mau dapet kupon alfamart tiba tiba gabisa check in, LUCU AMAT WWKWKWKKW",1,2025-08-29 12:26:25,udah check in hari pas hari ke mau dapet kupon alfamart tiba tiba gabisa check in lucu amat wwkwkwkkw,check in pas dapet kupon alfamart gabisa check in lucu wwkwkwkkw,negative
Napa qpon sy tiba² hilang gangguan trus g bs masuk k akun lg,2,2025-08-29 11:52:43,napa qpon sy tiba hilang gangguan trus g bs masuk k akun lg,napa qpon sy hilang ganggu trus bs masuk akun lg,negative
"Kacau nih APK, masa 2 HP gak bisa login sama sekali. Pake Wifi gak bisa, pake jaringan data gak bisa juga",1,2025-08-29 11:46:46,kacau nih apk masa hp gak bisa login sama sekali pake wifi gak bisa pake jaringan data gak bisa juga,kacau apk hp login pake wifi pake jaring data,negative
"apk tolol gabisa login"" pdhl udah undang banyak teman malah di kira curang idiot ni apk belain undang temen yang banyak tapi malah di batesin malah di sangka curang",1,2025-08-29 11:43:07,apk tolol gabisa login pdhl udah undang banyak teman malah di kira curang idiot ni apk belain undang temen yang banyak tapi malah di batesin malah di sangka curang,apk tolol gabisa login pdhl undang teman curang idiot ni apk bain undang temen batesin sangka curang,negative
tiba2 ngebug sendiri padahal sedari siang bisa aneh,2,2025-08-29 10:51:00,tiba ngebug sendiri padahal sedari siang bisa aneh,ngebug dar siang aneh,negative
sangat buruk,1,2025-08-29 10:34:37,sangat buruk,buruk,negative
lebih sering menu tidak tersedia di resto,1,2025-08-29 10:30:33,lebih sering menu tidak tersedia di resto,menu sedia resto,negative
"tiap mau login, akun terdeteksi tidak normal",5,2025-08-29 10:12:31,tiap mau login akun terdeteksi tidak normal,login akun deteksi normal,positive
"ini kenapa ya kq selalu mesti error waktu mau pembelian voucher, server error terus""san",1,2025-08-29 09:01:08,ini kenapa ya kq selalu mesti error waktu mau pembelian voucher server error terus san,ya kq mesti error beli voucher server error san,negative
ini bagus banget ada diskon apa pun,5,2025-08-29 08:40:13,ini bagus banget ada diskon apa pun,bagus diskon,positive
hari ni busuk gangguan gx bisa transaksi setelah diperbaiki n bisa transaksi q ubah jd bintang 5,1,2025-08-29 08:36:20,hari ni busuk gangguan gx bisa transaksi setelah diperbaiki n bisa transaksi q ubah jd bintang,ni busuk ganggu gx transaksi baik transaksi ubah jd bintang,negative
aplikasi ini sekarang makin aneh dan jelek. banyak masalah sistemnya dan dulu aman aman aja sekarang makin bobrok,1,2025-08-29 08:06:26,aplikasi ini sekarang makin aneh dan jelek banyak masalah sistemnya dan dulu aman aman aja sekarang makin bobrok,aplikasi aneh jelek sistem aman aman bobrok,negative
"eek hehe, ikut event voucher 25k bayar 5k. disuruh kumpulin 5 pengguna baru. pas udah kekumpul semua voucher tiba² gabisa dipakai",1,2025-08-29 07:45:36,eek hehe ikut event voucher k bayar k disuruh kumpulin pengguna baru pas udah kekumpul semua voucher tiba gabisa dipakai,eek hehe event voucher bayar suruh kumpulin guna pas kumpul voucher gabisa pakai,negative
semenjak update buka halaman flas sale masa tulisanya produk habis trus buka chekin harian halaman offline hedehhh padahall kemarin masih bisa chek in masih bisa buka halaman harian admin di chat ga di jawab,1,2025-08-29 05:22:37,semenjak update buka halaman flas sale masa tulisanya produk habis trus buka chekin harian halaman offline hedehhh padahall kemarin masih bisa chek in masih bisa buka halaman harian admin di chat ga di jawab,semenjak update buka halaman flas sale tulisanya produk habis trus buka chekin hari halaman offline hedehhh padahall kemarin chek in buka halaman hari admin chat,negative
gabisa di check out kocak,1,2025-08-29 05:15:17,gabisa di check out kocak,gabisa check out kocak,negative
semua nomor ga bisa masuk udah hapus install aplikasi tetap juga ga bisa masuk,1,2025-08-29 04:24:32,semua nomor ga bisa masuk udah hapus install aplikasi tetap juga ga bisa masuk,nomor masuk hapus install aplikasi masuk,negative
"ga jelas akun ga ngapai2in di blok, katanya akun mencurigakan, makanya jgn suozon mulu ama org",1,2025-08-29 04:08:37,ga jelas akun ga ngapai in di blok katanya akun mencurigakan makanya jgn suozon mulu ama org,akun ngapai in blok akun curiga jgn suozon mulu ama org,negative
jelek percuma vouchernya gabisa di gunakan,1,2025-08-29 01:50:13,jelek percuma vouchernya gabisa di gunakan,jelek vouchernya gabisa,negative
apaann gak bisa check-in+ gak bisa klaim qpon awal bisa skrg gak bisa,1,2025-08-29 00:16:48,apaann gak bisa check in gak bisa klaim qpon awal bisa skrg gak bisa,apaann check in klaim qpon skrg,negative
ko g bisa masuk trus ada tulisan akun bermasalah...kenapa ya ? klo dah hisa kasih B5,1,2025-08-28 22:00:23,ko g bisa masuk trus ada tulisan akun bermasalah kenapa ya klo dah hisa kasih b,ko masuk trus tulis akun masalah ya hisa kasih,negative
semoga aplikasi ny dapat berjalan dengan baik,5,2025-08-28 20:42:35,semoga aplikasi ny dapat berjalan dengan baik,moga aplikasi ny jalan,positive
jajan jdi hemat 🥰,5,2025-08-28 15:18:47,jajan jdi hemat,jajan jdi hemat,positive
"Aplikasi amal, mantap voucher Alfamart.",5,2025-08-28 12:54:55,aplikasi amal mantap voucher alfamart,aplikasi amal mantap voucher alfamart,positive
"tadi habis bayar qris nya terus status pembayaran dalam proses tapi saldo udah kepotong, di apk qpon nya masih status blm pembayaran. gimana si ko bisa gitu merugikan banget enak",1,2025-08-28 11:50:20,tadi habis bayar qris nya terus status pembayaran dalam proses tapi saldo udah kepotong di apk qpon nya masih status blm pembayaran gimana si ko bisa gitu merugikan banget enak,habis bayar qris status bayar proses saldo potong apk qpon status blm bayar gimana si ko gitu rugi enak,negative
aplikasi aneh setiap minta kode ga pernah dikirim.,1,2025-08-28 11:45:11,aplikasi aneh setiap minta kode ga pernah dikirim,aplikasi aneh kode kirim,negative
susah banget buat sekedar login wkwk,1,2025-08-28 11:14:56,susah banget buat sekedar login wkwk,susah dar login wkwk,negative
"parah bgt giliran udah dibeli vocer nya malah gx bisa masuk akun katanya terdeteksi apalah, kan vocer nya juga belom ditukerin",1,2025-08-28 10:48:39,parah bgt giliran udah dibeli vocer nya malah gx bisa masuk akun katanya terdeteksi apalah kan vocer nya juga belom ditukerin,parah gilir beli vocer gx masuk akun deteksi apa vocer bom ditukerin,negative
"gajelasss,minta refund gbisaa,di chat juga ga bles",1,2025-08-28 08:29:37,gajelasss minta refund gbisaa di chat juga ga bles,gajelasss refund gbisaa chat bles,negative
